City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,kez,57.8979,53.7152,-3.35,73,17,2.82,RU,1731311446
109,qaqortoq,60.7167,-46.0333,-1.42,92,100,2.5,GL,1731311446
110,vilyuchinsk,52.9306,158.4028,-1.85,95,97,0.91,RU,1731311446
111,ola,59.5833,151.2833,-7.54,86,100,9.33,RU,1731311446
112,doume,4.2333,13.45,26.64,58,45,1.8,CM,1731311446
113,varberg,57.1056,12.2508,6.63,92,100,1.04,SE,1731311446
114,comodoro rivadavia,-45.8667,-67.5,10.92,43,0,10.29,AR,1731311446
115,vielha,42.6846,0.7726,0.66,92,84,3.51,ES,1731311447
116,vernon,50.2581,-119.2691,7.09,86,100,2.57,CA,1731311193
117,howrah,22.5892,88.3103,31.0,55,40,3.09,IN,1731311447
118,belmonte,-15.8631,-38.8828,22.03,99,99,2.31,BR,1731311447
119,tan-tan,28.438,-11.1032,18.15,89,0,2.75,MA,1731311447
120,sao tome,0.3365,6.7273,26.66,78,85,2.79,ST,1731311447
121,kidal,18.4411,1.4078,22.41,23,0,6.87,ML,1731311447
122,tuy hoa,13.0833,109.3,27.75,76,14,3.26,VN,1731311447
123,kalmunai,7.4167,81.8167,30.37,66,100,4.67,LK,1731311447
124,meraux,29.933,-89.9498,23.33,84,100,3.6,US,1731311448
125,ballina,-28.8667,153.5667,21.96,93,98,2.04,AU,1731311448
126,carrick-on-suir,52.3492,-7.4131,8.09,93,99,1.3,IE,1731311448
127,kitimat,54.0524,-128.6534,2.05,29,100,1.33,CA,1731311448
128,merizo village,13.2658,144.6691,28.31,81,100,4.89,GU,1731311448
129,pamandzi,-12.7967,45.2794,30.88,66,0,2.57,YT,1731311448
130,ghardaia,32.4909,3.6735,14.64,67,0,4.63,DZ,1731311448
131,dompu,-8.5356,118.4622,30.55,66,74,0.82,ID,1731311448
132,kodiak,57.79,-152.4072,4.73,60,0,5.66,US,1731311449
133,tiksi,71.6872,128.8694,-16.27,97,100,0.59,RU,1731311449
134,colchani,-20.3,-66.9333,8.34,30,9,3.64,BO,1731311449
135,talnakh,69.4865,88.3972,-25.38,89,33,0.93,RU,1731311449
136,khorugh,37.4897,71.553,1.07,87,99,2.08,TJ,1731311449
137,sitka,57.0531,-135.33,7.94,66,75,5.14,US,1731311449
138,callao,-12.0667,-77.15,19.29,82,0,3.6,PE,1731311665
139,sarandi del yi,-33.35,-55.6333,15.54,90,100,5.42,UY,1731311450
140,bandon,51.7469,-8.7425,8.77,84,99,1.09,IE,1731311450
141,badger,64.8,-147.5333,-17.07,84,0,1.54,US,1731311450
142,mersing,2.4312,103.8405,31.95,70,40,3.6,MY,1731311450
143,ubari,26.5921,12.7805,21.21,27,98,4.31,LY,1731311450
144,minna,9.6139,6.5569,26.53,27,4,4.91,NG,1731311450
145,prado,-17.3411,-39.2208,22.96,85,100,4.47,BR,1731311450
146,zhangye,38.9342,100.4517,13.59,24,40,0.92,CN,1731311450
147,oxelosund,58.6706,17.1015,4.21,100,75,1.03,SE,1731311450
148,campo mourao,-24.0456,-52.3831,18.11,88,0,2.38,BR,1731311451
